DIFF_ND,DIFF_NF,DIFF_EN,SIZE_LA,SIZE_LD,PURP_FIX,PURP_MR,HIST_NDEV,SKIP_DOC,SKIP_MET,SKIP_COM,SKIP_FRM,SKIP_BLD,LABEL,CM_add,CM_api,CM_build,CM_fix,CM_gradle,CM_review,CM_test,CM_toolingcommons,CM_use,CM_version
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,3,0.6208761492698756,16,27,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.7422719783583858,0.0,0.6700987316387997,0.0,0.0,0.0,0.0,0.0
1,1,0.0,32,0,0,0,0.0,1,0,0,0,0,0,0.6745065772223837,0.0,0.0,0.0,0.0,0.0,0.7382688380825405,0.0,0.0,0.0
1,2,0.17035576009934994,93,24,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.7387379270010229,0.6739927857256569,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.49947970863683666,31,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.18231463978155849,67,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,86,0.9667027521777554,577,2983,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,0,0,0,0.0,1,0,1,0,0,0,0.6349775251574425,0.0,0.7725306094550102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,19,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.6428571428571428,14,14,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,0.6399999999999999,15,15,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0.0,0,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,2,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,2,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,2,2,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,5,0.2823913879277201,58,44,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.7338442188612058,0.0,0.0,0.0,0.0,0.0,0.6793177919383435,0.0
4,42,0.9482950217882605,144,139,0,0,0.0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6974162325436088,0.0,0.716666309089997,0.0,0.0
2,3,0.5743339002267575,108,60,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,51,0.9584462844017395,298,2789,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.7338442188612058,0.0,0.0,0.0,0.0,0.0,0.6793177919383435,0.0
